id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,notes,cost-basis-in-pennies,quantity,date-entered,date-purchased,grading-company,grading-cert-id,folder
10820125,Nikola Jokic #286,Basketball Cards 2025 Topps,125,Ungraded,Normal wear,,,0,1,2026-03-10,,,,2025 - 26 TOPPS Flagship Basketball
11822369,Daisy Duck [Yellow] #40,2025 Topps Chrome Disney,537,Ungraded,Normal wear,,,0,1,2026-03-10,,,,
10818706,Zaccharie Risacher #62,Basketball Cards 2025 Topps,91,Ungraded,Normal wear,,,0,1,2026-03-10,,,,2024-25 Topps Chrome UEFA Club Competitions 
10819661,Rasheer Fleming #231,Basketball Cards 2025 Topps,64,Ungraded,Normal wear,,,0,1,2026-03-10,,,,2025 - 26 TOPPS Flagship Basketball
10818344,Derrick White #6,Basketball Cards 2025 Topps,149,Ungraded,Normal wear,,,0,1,2026-03-10,,,,2025 - 26 TOPPS Flagship Basketball
10818665,Mark Williams #70,Basketball Cards 2025 Topps,99,Ungraded,Normal wear,,,0,1,2026-03-10,,,,2025 - 26 TOPPS Flagship Basketball
10819091,Isaiah Collier #133,Basketball Cards 2025 Topps,23,Ungraded,Normal wear,,,0,1,2026-03-10,,,,2025 - 26 TOPPS Flagship Basketball
11821844,Kronk #22,2025 Topps Chrome Disney,142,Ungraded,Normal wear,,,0,1,2026-03-10,,,,
11821789,Heihei #19,2025 Topps Chrome Disney,260,Ungraded,Normal wear,,,0,1,2026-03-10,,,,
10819745,Brooks Barnhizer #245,Basketball Cards 2025 Topps,108,Ungraded,Normal wear,,,0,1,2026-03-10,,,,2025 - 26 TOPPS Flagship Basketball
10818985,Shai Gilgeous-Alexander #115,Basketball Cards 2025 Topps,115,Ungraded,Normal wear,,,0,1,2026-03-10,,,,
10839273,Tre Johnson III #80BK-97,Basketball Cards 2025 Topps 1980,119,Ungraded,Normal wear,,,0,1,2026-03-10,,,,2025 - 26 TOPPS Flagship Basketball
11823014,Fix-It Felix #66,2025 Topps Chrome Disney,233,Ungraded,Normal wear,,,0,1,2026-03-10,,,,
11827097,Forky #FS-8,2025 Topps Chrome Disney Future Stars,247,Ungraded,Normal wear,,,0,1,2026-03-10,,,,
10819137,Brandin Podziemski #141,Basketball Cards 2025 Topps,99,Ungraded,Normal wear,,,0,1,2026-03-10,,,,2025 - 26 TOPPS Flagship Basketball
10818340,Baylor Scheierman #5,Basketball Cards 2025 Topps,99,Ungraded,Normal wear,,,0,1,2026-03-10,,,,2025 - 26 TOPPS Flagship Basketball
10819765,Allen Iverson #253,Basketball Cards 2025 Topps,100,Ungraded,Normal wear,,,0,1,2026-03-10,,,,2025 - 26 TOPPS Flagship Basketball
11825529,Clarabelle Cow #165,2025 Topps Chrome Disney,163,Ungraded,Normal wear,,,0,1,2026-03-10,,,,
10818367,Karl-Anthony Towns #19,Basketball Cards 2025 Topps,105,Ungraded,Normal wear,,,0,1,2026-03-10,,,,2025 - 26 TOPPS Flagship Basketball
10838689,Isaiah Hartenstein #80BK-15,Basketball Cards 2025 Topps 1980,106,Ungraded,Normal wear,,,0,1,2026-03-10,,,,2025 - 26 TOPPS Flagship Basketball
11824395,Remy #117,2025 Topps Chrome Disney,193,Ungraded,Normal wear,,,0,1,2026-03-10,,,,
10819126,Quinten Post #139,Basketball Cards 2025 Topps,0,Ungraded,Normal wear,,,0,1,2026-03-10,,,,2025 - 26 TOPPS Flagship Basketball
10818451,Nikola Vucevic #36,Basketball Cards 2025 Topps,150,Ungraded,Normal wear,,,0,1,2026-03-10,,,,2025 - 26 TOPPS Flagship Basketball
10819521,Walter Clayton Jr. #218,Basketball Cards 2025 Topps,197,Ungraded,Normal wear,,,0,1,2026-03-10,,,,2025 - 26 TOPPS Flagship Basketball
11825168,Dash Parr #151,2025 Topps Chrome Disney,175,Ungraded,Normal wear,,,0,1,2026-03-10,,,,
10818719,Clint Capela #63,Basketball Cards 2025 Topps,48,Ungraded,Normal wear,,,0,1,2026-03-10,,,,2025 - 26 TOPPS Flagship Basketball
10819555,Asa Newell #223,Basketball Cards 2025 Topps,99,Ungraded,Normal wear,,,0,1,2026-03-10,,,,2025 - 26 TOPPS Flagship Basketball
