id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,notes,cost-basis-in-pennies,quantity,date-entered,date-purchased,grading-company,grading-cert-id,folder
9200456,John Randle #63,Football Cards 2024 Topps Resurgence,71,Ungraded,Normal wear,,,0,1,2025-10-02,,,,
8770701,Anthony Black #60,Basketball Cards 2024 Panini Donruss,100,Ungraded,Normal wear,,,0,1,2025-10-08,,,,
9951639,Tim Duncan #291,Basketball Cards 2024 Panini Mosaic,138,Ungraded,Normal wear,,,0,1,2025-10-03,,,,
10266435,Monkey.D.Garp OP12-056,One Piece Legacy of the Master,194,Ungraded,Normal wear,,,0,1,2026-03-02,,,,
8532077,Jalen Duren #20,Basketball Cards 2024 Panini Prizm,100,Ungraded,Normal wear,,,0,1,2025-08-30,,,,
9859059,Tabatha Ricci #AAG-12,Ufc Cards 2025 Topps Chrome UFC Allen & Ginter,180,Ungraded,Normal wear,,,0,1,2025-10-07,,,,
1937481,Nolan Ryan #530,Baseball Cards 1989 Topps,156,Ungraded,Normal wear,,,3,1,2026-01-16,2026-01-16,,,
9090651,Deandre Ayton [Red Wave] #4,Basketball Cards 2024 Panini Prizm Monopoly,33,Ungraded,Normal wear,,,0,1,2025-11-27,,,,
9936455,Robert Williams III #58,Basketball Cards 2024 Panini Mosaic,100,Ungraded,Normal wear,,,0,1,2025-10-02,,,,
8533208,Derrick Jones Jr. [Red Ice] #34,Basketball Cards 2024 Panini Prizm,150,Ungraded,Normal wear,,,0,1,2025-08-30,,,,
9758589,Javonte Williams #29,Football Cards 2024 Panini Contenders,25,Ungraded,Normal wear,,,0,1,2025-10-07,,,,
8551562,Steve Nash [Red Ice] #298,Basketball Cards 2024 Panini Prizm,123,Ungraded,Normal wear,,,0,1,2025-10-02,,,,
10266409,Demon Aura Nine Sword Style Asura Blades Drawn Dead Man's Game OP12-037,One Piece Legacy of the Master,300,Ungraded,Normal wear,,,0,1,2026-03-02,,,,
9261486,Darius Garland #60,Basketball Cards 2024 Panini Revolution,79,Ungraded,Normal wear,,,0,1,2025-10-02,,,,
10019242,Shohei Ohtani #PP-25,Baseball Cards 2025 Topps Chrome Power Players,1949,Ungraded,Normal wear,,,0,1,2025-08-09,,,,
11138065,Tyler Nubin #63,Football Cards 2025 Panini Phoenix,161,Ungraded,Normal wear,,,0,1,2026-03-05,,,,2025 Panini Phoenix
7362408,Henry To'oTo'o #39,Football Cards 2023 Panini Select,111,Ungraded,Normal wear,,,0,1,2025-10-02,,,,
10004561,Aaron Judge [Topps Logo] #99,Baseball Cards 2025 Topps Chrome,6300,PSA 10,Normal wear,,,0,1,2025-10-07,,,,
9100429,Bralen Trice #162,Football Cards 2024 Panini Phoenix,19,Ungraded,Normal wear,,,0,1,2025-10-02,,,,
9264209,Reed Sheppard #145,Basketball Cards 2024 Panini Revolution,134,Ungraded,Normal wear,,,0,1,2026-02-21,2026-02-21,,,
